task_id,employee_id,assigned_by_user_id,task_name,description,status,due_date,completion_date
62,21,2,Security Training,Security Training task,Completed,2026-02-26,2026-02-26
63,21,2,Meet Manager,Meet Manager task,In Progress,2026-02-26,
64,22,2,Setup Email,Setup Email task,Completed,2026-02-27,2026-02-27
65,22,2,Security Training,Security Training task,In Progress,2026-02-27,
66,22,2,Meet Manager,Meet Manager task,Completed,2026-02-27,2026-02-27
67,23,2,Setup Email,Setup Email task,In Progress,2026-02-28,
68,23,2,Security Training,Security Training task,Completed,2026-02-28,2026-02-28
69,23,2,Meet Manager,Meet Manager task,Pending,2026-02-28,
70,24,2,Setup Email,Setup Email task,Completed,2026-03-01,2026-03-01
71,24,2,Security Training,Security Training task,Pending,2026-03-01,
72,24,2,Meet Manager,Meet Manager task,In Progress,2026-03-01,
73,25,2,Setup Email,Setup Email task,In Progress,2026-03-02,
74,25,2,Security Training,Security Training task,In Progress,2026-03-02,
75,25,2,Meet Manager,Meet Manager task,Pending,2026-03-02,
76,26,2,Setup Email,Setup Email task,In Progress,2026-03-03,
77,26,2,Security Training,Security Training task,Completed,2026-03-03,2026-03-03
78,26,2,Meet Manager,Meet Manager task,Completed,2026-03-03,2026-03-03
79,27,2,Setup Email,Setup Email task,In Progress,2026-03-04,
80,27,2,Security Training,Security Training task,Pending,2026-03-04,
81,27,2,Meet Manager,Meet Manager task,Pending,2026-03-04,
82,28,2,Setup Email,Setup Email task,Pending,2026-03-05,
83,28,2,Security Training,Security Training task,Pending,2026-03-05,
84,28,2,Meet Manager,Meet Manager task,Completed,2026-03-05,2026-03-05
85,29,2,Setup Email,Setup Email task,Completed,2026-03-06,2026-03-06
86,29,2,Security Training,Security Training task,Pending,2026-03-06,
87,29,2,Meet Manager,Meet Manager task,In Progress,2026-03-06,
88,30,2,Setup Email,Setup Email task,Completed,2026-03-07,2026-03-07
89,30,2,Security Training,Security Training task,Completed,2026-03-07,2026-03-07
90,30,2,Meet Manager,Meet Manager task,In Progress,2026-03-07,
