checklist_id,employee_id,title,description,status,due_date,completed_date
64,16,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-17,2026-02-17
65,17,Submit Documents,Submit Documents for onboarding,Completed,2026-02-18,2026-02-18
66,17,Complete HR Forms,Complete HR Forms for onboarding,Pending,2026-02-18,
67,17,IT Account Setup,IT Account Setup for onboarding,Pending,2026-02-18,
68,17,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-18,2026-02-18
69,18,Submit Documents,Submit Documents for onboarding,Completed,2026-02-19,2026-02-19
70,18,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-19,2026-02-19
71,18,IT Account Setup,IT Account Setup for onboarding,Completed,2026-02-19,2026-02-19
72,18,Laptop Collection,Laptop Collection for onboarding,Pending,2026-02-19,
73,19,Submit Documents,Submit Documents for onboarding,Completed,2026-02-20,2026-02-20
74,19,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-20,2026-02-20
75,19,IT Account Setup,IT Account Setup for onboarding,Pending,2026-02-20,
76,19,Laptop Collection,Laptop Collection for onboarding,Pending,2026-02-20,
77,20,Submit Documents,Submit Documents for onboarding,Completed,2026-02-21,2026-02-21
78,20,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-21,2026-02-21
79,20,IT Account Setup,IT Account Setup for onboarding,Completed,2026-02-21,2026-02-21
80,20,Laptop Collection,Laptop Collection for onboarding,Pending,2026-02-21,
81,21,Submit Documents,Submit Documents for onboarding,Pending,2026-02-22,
82,21,Complete HR Forms,Complete HR Forms for onboarding,Pending,2026-02-22,
83,21,IT Account Setup,IT Account Setup for onboarding,Pending,2026-02-22,
84,21,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-22,2026-02-22
85,22,Submit Documents,Submit Documents for onboarding,Pending,2026-02-23,
86,22,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-23,2026-02-23
87,22,IT Account Setup,IT Account Setup for onboarding,Pending,2026-02-23,
88,22,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-23,2026-02-23
89,23,Submit Documents,Submit Documents for onboarding,Pending,2026-02-24,
90,23,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-24,2026-02-24
91,23,IT Account Setup,IT Account Setup for onboarding,Pending,2026-02-24,
92,23,Laptop Collection,Laptop Collection for onboarding,Pending,2026-02-24,
93,24,Submit Documents,Submit Documents for onboarding,Completed,2026-02-25,2026-02-25
94,24,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-25,2026-02-25
95,24,IT Account Setup,IT Account Setup for onboarding,Completed,2026-02-25,2026-02-25
96,24,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-25,2026-02-25
97,25,Submit Documents,Submit Documents for onboarding,Completed,2026-02-26,2026-02-26
98,25,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-26,2026-02-26
99,25,IT Account Setup,IT Account Setup for onboarding,Completed,2026-02-26,2026-02-26
100,25,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-26,2026-02-26
101,26,Submit Documents,Submit Documents for onboarding,Pending,2026-02-27,
102,26,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-02-27,2026-02-27
103,26,IT Account Setup,IT Account Setup for onboarding,Completed,2026-02-27,2026-02-27
104,26,Laptop Collection,Laptop Collection for onboarding,Completed,2026-02-27,2026-02-27
105,27,Submit Documents,Submit Documents for onboarding,Pending,2026-02-28,
106,27,Complete HR Forms,Complete HR Forms for onboarding,Pending,2026-02-28,
107,27,IT Account Setup,IT Account Setup for onboarding,Pending,2026-02-28,
108,27,Laptop Collection,Laptop Collection for onboarding,Pending,2026-02-28,
109,28,Submit Documents,Submit Documents for onboarding,Completed,2026-03-01,2026-03-01
110,28,Complete HR Forms,Complete HR Forms for onboarding,Completed,2026-03-01,2026-03-01
111,28,IT Account Setup,IT Account Setup for onboarding,Pending,2026-03-01,
112,28,Laptop Collection,Laptop Collection for onboarding,Completed,2026-03-01,2026-03-01
113,29,Submit Documents,Submit Documents for onboarding,Completed,2026-03-02,2026-03-02
114,29,Complete HR Forms,Complete HR Forms for onboarding,Pending,2026-03-02,
115,29,IT Account Setup,IT Account Setup for onboarding,Pending,2026-03-02,
116,29,Laptop Collection,Laptop Collection for onboarding,Pending,2026-03-02,
117,30,Submit Documents,Submit Documents for onboarding,Pending,2026-03-03,
118,30,Complete HR Forms,Complete HR Forms for onboarding,Pending,2026-03-03,
119,30,IT Account Setup,IT Account Setup for onboarding,Pending,2026-03-03,
120,30,Laptop Collection,Laptop Collection for onboarding,Completed,2026-03-03,2026-03-03
